classification	common_name	scientific_name	condition
Plants	Himalayan balsam	Impatiens glandulifera	n/a
Plants	Hydrilla (water thyme)	Hydrilla verticillata	n/a
Plants	Parrot feather (Brazilian	Myriophyllum aquaticum watermilfoil)	n/a
Plants	Purple loosestrife	Lythrum salicaria or any cultivars, variety or hybrid	n/a
Plants	Salt cedar T. chiniensis, T. parviflora or	Tamarisk ramosissima, any cultivars, variety or hybrids	n/a
Plants	Starry stonewort	Nitellopsis obtusa	n/a
Plants	Water chestnut	Trapa natans	n/a
Plants	Water hyacinth	Eichhornia crassipes	n/a
Plants	Water lettuce	Pistia stratiotes	n/a
Plants	Water soldier	Stratiotes aloides	n/a
Plants	Yellow (flag) iris	Iris pseudacorus	n/a
Plants	Yellow floatingheart	Nymphoides peltata	n/a
Algae	Black algae	Plectonema (Lyngbya) wollei	n/a
Algae	Didymo (rock snot)	Didymosphenia geminata	n/a
