part	item	common_name	scientific	condition	import_area	possess_area	transport_area	release_area
2	63	Western mosquitofish	Gambusia affinis	Dead		Manitoba	Manitoba	Manitoba
2	64	Fourspine stickleback	Apeltes quadracus	Dead		Manitoba	Manitoba	Manitoba
2	65	Threespine stickleback	Gasterosteus aculeatus	Dead		Manitoba	Manitoba	Manitoba
2	66	Blackspotted stickleback	Gasterosteus wheatlandi	Dead		Manitoba	Manitoba	Manitoba
2	67	Bullhead or Miller’s thumb	Cottus gobio gobio	Dead		Manitoba	Manitoba	Manitoba
2	68	White perch	Morone americana and hybrids	Dead		Manitoba	Manitoba	Manitoba
2	69	Yellow bass	Morone mississippiensis and hybrids	Dead		Manitoba	Manitoba	Manitoba
2	70	Striped bass	Morone saxatilis and hybrids	Dead		Manitoba	Manitoba	Manitoba
2	71	Green sunfish	Lepomis cyanellus	Dead		Manitoba	Manitoba	Manitoba
2	72	Orangespotted sunfish	Lepomis humilis	Dead		Manitoba	Manitoba	Manitoba
2	73	Longear sunfish	Lepomis megalotis	Dead		Manitoba	Manitoba	Manitoba
2	74	Northern sunfish	Lepomis peltastes	Dead		Manitoba	Manitoba	Manitoba
2	75	Zander	Sander lucioperca	Dead		Manitoba	Manitoba	Manitoba
2	76	Volga pikeperch	Sander volgensis or Sander marinus	Dead		Manitoba	Manitoba	Manitoba
2	77	Snakehead	Channa argus	Dead and eviscerated		Manitoba	Manitoba	Manitoba
2	78	European stream valvata	Valvata piscinalis	Dead		Manitoba	Manitoba	Manitoba
2	79	Chinese mystery snail	Cipangopaludina chinensis	Dead		Manitoba	Manitoba	Manitoba
2	80	New Zealand mud snail	Potamopyrgus antipodarum	Dead		Manitoba	Manitoba	Manitoba
2	81	Mud bithynid	Bithynia tentaculata	Dead		Manitoba	Manitoba	Manitoba
2	82	Big-eared radix	Radix auricularia	Dead		Manitoba	Manitoba	Manitoba
2	83	Asian clam	Corbicula fluminea	Dead		Manitoba	Manitoba	Manitoba
2	84	Greater european peaclam	Pisidium amnicum	Dead		Manitoba	Manitoba	Manitoba
2	85	Henslow peaclam	Pisidium henslowanum	Dead		Manitoba	Manitoba	Manitoba
2	86	European fingernail clam	Sphaerium corneum	Dead		Manitoba	Manitoba	Manitoba
2	87	Spiny water flea	Bythotrephes cederstroemi	Dead		Manitoba	Manitoba	Manitoba
2	88	Fish hook water flea	Cercopagis pengoi	Dead		Manitoba	Manitoba	Manitoba
2	89	Rusty crayfish	Orconectes rusticus	Dead		Manitoba	Manitoba	Manitoba
3	1	Club tunicate	Styela clava					
3	2	Vase tunicate	Ciona intestinalis					
3	3	Golden Star tunicate	Botryllus schlosseri					
3	4	Violet tunicate	Botrylloides violaceus					
3	5	Didemnum	Didemnum vexillum					
3	6	Bloody red shrimp	Hemimysis anomala					
3	7	European green crab	Carcinus maenas					
3	8	Chinese mitten crab	Eriocheir sinensis					
3	9	Smallmouth bass	Micropterus dolomieu					
3	10	Largemouth bass	Micropterus salmoides					
3	11	Northern pike	Esox lucius					
3	12	Pumpkinseed	Lepomis gibbosus					
3	13	Walleye	Sander vitreus					
3	14	Yellow perch	Perca flavescens					
